date_pick_up,time_pick_up,trap_id,bait_type,trap_type,species,number_individuals,rainfall_setup_date_mm,rainfall_pickup_date_mm,habitat
7/8/17,14:30:00,AT3,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,0,0,Terra Firme
7/8/17,14:30:00,AT3,Howler monkey dung,AT,Canthon sp R,1,0,0,Terra Firme
7/8/17,14:30:00,AT3,Howler monkey dung,AT,Canthon femoralis bimaculatus,2,0,0,Terra Firme
7/8/17,14:30:00,AT3,Howler monkey dung,AT,Canthon sp aff angustatus,1,0,0,Terra Firme
7/8/17,14:30:00,AT4,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,0,0,Terra Firme
7/8/17,14:30:00,AT4,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,0,0,Terra Firme
7/8/17,14:30:00,AT4,Howler monkey dung,AT,Canthon sp F,1,0,0,Terra Firme
7/8/17,14:30:00,AT4,Howler monkey dung,AT,Canthon sp R,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Phanaeus chalcomelas,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Phanaeus cambeforti,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Dichotomius melzeri,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Dichotomius conicollis,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthon luteicollis,9,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthon aequinoctialis,14,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthidium sp aff cupreum,26,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Onthophagus onorei,5,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Onthophagus haematopus,11,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthidium histrio,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthidium bicolor,5,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Scybalocanthon sp C,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthidium gerstaeckeri,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthonella sp A,2,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthonella sp D,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Scybalocanthon sp K,1,0,0,Terra Firme
7/8/17,14:30:00,PT3,Howler monkey dung,PT,Canthidium aff funebre,9,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthon aequinoctialis,3,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Eurysternus sp nov A,2,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Dichotomius prietoi,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Sylvicanthon bridarollii,67,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium bicolor,12,0,0,Terra Firme
